code,type,title,bondType,jailTime,bondAmount
720 ILCS 5/9-1,Felony,First Degree Murder,Federal Bail Bond,20-60 Years,1000000
720 ILCS 5/9-2,Felony,Second Degree Murder,Federal Bail Bond,4-20 Years,500000
720 ILCS 5/10-1,Felony,Aggravated Kidnapping,Federal Bail Bond,6-30 Years,750000
720 ILCS 5/10-2,Felony,Unlawful Restraint,Federal Bail Bond,1-3 Years,100000
720 ILCS 5/11-1.20,Felony,Criminal Sexual Assault,Federal Bail Bond,4-15 Years,500000
720 ILCS 5/11-1.30,Felony,Aggravated Criminal Sexual Assault,Federal Bail Bond,6-30 Years,750000
720 ILCS 5/12-3,Misdemeanor,Battery,Personal Recognizance,Up to 1 Year,2500
720 ILCS 5/12-3.05,Felony,Aggravated Battery,Federal Bail Bond,2-5 Years,250000
720 ILCS 5/12-7.3,Felony,Stalking,Federal Bail Bond,1-3 Years,100000
720 ILCS 5/16-1,Felony,Theft Over $500,Federal Bail Bond,1-3 Years,100000
720 ILCS 5/16-25,Misdemeanor,Retail Theft,Personal Recognizance,Up to 1 Year,2500
720 ILCS 5/17-3,Felony,Forgery,Federal Bail Bond,1-3 Years,100000
720 ILCS 5/18-1,Felony,Robbery,Federal Bail Bond,3-7 Years,250000
720 ILCS 5/18-2,Felony,Armed Robbery,Federal Bail Bond,6-30 Years,750000
720 ILCS 5/19-1,Felony,Burglary,Federal Bail Bond,3-7 Years,250000
720 ILCS 5/19-3,Felony,Residential Burglary,Federal Bail Bond,4-15 Years,500000
720 ILCS 5/20-1,Felony,Arson,Federal Bail Bond,3-7 Years,250000
720 ILCS 5/20-1.1,Felony,Aggravated Arson,Federal Bail Bond,6-30 Years,750000
720 ILCS 5/24-1.1,Felony,Unlawful Use of Weapon by Felon,Federal Bail Bond,2-5 Years,250000
720 ILCS 5/24-1.6,Felony,Aggravated Unlawful Use of a Weapon,Federal Bail Bond,1-3 Years,100000
720 ILCS 5/26-1,Misdemeanor,Disorderly Conduct,Personal Recognizance,Up to 1 Year,2500
720 ILCS 5/31-1,Misdemeanor,Resisting or Obstructing a Peace Officer,Personal Recognizance,Up to 1 Year,2500
720 ILCS 5/32-4,Felony,Harassment of Witness or Juror,Federal Bail Bond,2-5 Years,250000
720 ILCS 5/33-1,Felony,Bribery,Federal Bail Bond,3-7 Years,250000
720 ILCS 550/4,Misdemeanor,Possession of Cannabis (Under 10g),Personal Recognizance,Up to 6 Months,1500
720 ILCS 550/5,Felony,Manufacture or Delivery of Cannabis,Federal Bail Bond,1-6 Years,100000
720 ILCS 570/402,Felony,Possession of Controlled Substance,Federal Bail Bond,1-3 Years,100000
720 ILCS 570/401,Felony,Manufacture or Delivery of Controlled Substance,Federal Bail Bond,4-15 Years,500000
625 ILCS 5/11-501,Misdemeanor,Driving Under the Influence (First Offense),Personal Recognizance,Up to 1 Year,2500
625 ILCS 5/11-502,Misdemeanor,Illegal Transportation of Alcohol,Personal Recognizance,Up to 1 Year,2500
625 ILCS 5/11-506,Felony,Street Racing,Federal Bail Bond,1-3 Years,100000
625 ILCS 5/12-611,Misdemeanor,Use of Electronic Communication Device While Driving,Personal Recognizance,Up to 6 Months,1500
625 ILCS 5/6-303,Misdemeanor,Driving While License Suspended or Revoked,Personal Recognizance,Up to 1 Year,2500
625 ILCS 5/11-401,Felony,Leaving the Scene of an Accident Involving Death or Personal Injury,Federal Bail Bond,1-3 Years,100000
625 ILCS 5/11-403,Misdemeanor,Leaving the Scene of an Accident Involving Property Damage,Personal Recognizance,Up to 1 Year,2500
625 ILCS 5/11-204,Felony,Fleeing or Attempting to Elude a Peace Officer,Federal Bail Bond,1-3 Years,100000
625 ILCS 5/4-103,Felony,Possession of a Stolen Motor Vehicle,Federal Bail Bond,3-7 Years,250000
720 ILCS 5/16-30,Felony,Identity Theft,Federal Bail Bond,2-5 Years,250000
720 ILCS 5/11-14,Misdemeanor,Prostitution,Personal Recognizance,Up to 1 Year,2500
720 ILCS 5/11-14.1,Misdemeanor,Solicitation of a Sexual Act,Personal Recognizance,Up to 1 Year,2500
720 ILCS 5/11-20.1,Felony,Child Pornography,Federal Bail Bond,4-15 Years,500000
720 ILCS 5/12-3.2,Misdemeanor,Domestic Battery,Personal Recognizance,Up to 1 Year,2500
720 ILCS 5/12-6,Felony,Intimidation,Federal Bail Bond,2-5 Years,250000
720 ILCS 5/12-9,Felony,Threatening a Public Official,Federal Bail Bond,2-5 Years,250000
