
code,type,title,bondType,jailTime,bondAmount
NRS 200.010,Felony,Murder,Federal Bail Bond,25-Life,1000000
NRS 200.030,Felony,First Degree Murder,Federal Bail Bond,Life without Parole,2000000
NRS 200.040,Felony,Second Degree Murder,Federal Bail Bond,25-Life,1000000
NRS 200.050,Felony,Voluntary Manslaughter,Federal Bail Bond,1-10 Years,500000
NRS 200.070,Felony,Involuntary Manslaughter,Federal Bail Bond,1-4 Years,250000
NRS 200.080,Felony,Kidnapping,Federal Bail Bond,5-Life,1000000
NRS 200.310,Felony,First Degree Kidnapping,Federal Bail Bond,15-Life,1500000
NRS 200.330,Felony,Second Degree Kidnapping,Federal Bail Bond,2-15 Years,750000
NRS 200.366,Felony,Sexual Assault,Federal Bail Bond,10-Life,1000000
NRS 200.380,Felony,Robbery,Federal Bail Bond,2-15 Years,500000
NRS 200.400,Felony,Battery with Intent to Kill,Federal Bail Bond,2-20 Years,750000
NRS 200.481,Felony,Battery with Substantial Bodily Harm,Federal Bail Bond,1-15 Years,500000
NRS 200.508,Felony,Child Abuse,Federal Bail Bond,2-Life,1000000
NRS 200.5099,Felony,Abuse of Older or Vulnerable Person,Federal Bail Bond,2-20 Years,750000
NRS 202.257,Felony,Possession of Firearm Under Influence,Federal Bail Bond,1-6 Years,250000
NRS 202.260,Felony,Discharging Firearm at Structure or Vehicle,Federal Bail Bond,1-10 Years,500000
NRS 202.275,Felony,Possession of Short-Barreled Rifle or Shotgun,Federal Bail Bond,1-6 Years,250000
NRS 202.290,Felony,Aiming Firearm at Human Being,Federal Bail Bond,1-6 Years,250000
NRS 202.300,Felony,Use of Firearm by Child Under 18,Federal Bail Bond,1-6 Years,250000
NRS 205.060,Felony,Burglary,Federal Bail Bond,1-10 Years,500000
NRS 205.067,Felony,Home Invasion,Federal Bail Bond,1-10 Years,500000
NRS 205.075,Felony,Possession of Burglary Tools,Federal Bail Bond,1-5 Years,250000
NRS 205.220,Felony,Grand Larceny,Federal Bail Bond,1-10 Years,500000
NRS 205.228,Felony,Theft of Motor Vehicle,Federal Bail Bond,1-10 Years,500000
NRS 205.270,Felony,Embezzlement,Federal Bail Bond,1-10 Years,500000
NRS 205.273,Felony,Possession of Stolen Property,Federal Bail Bond,1-10 Years,500000
NRS 205.300,Felony,Extortion,Federal Bail Bond,1-10 Years,500000
NRS 205.380,Felony,Obtaining Money Under False Pretenses,Federal Bail Bond,1-10 Years,500000
NRS 205.445,Felony,Defrauding an Innkeeper,Federal Bail Bond,1-4 Years,250000
NRS 205.460,Felony,Unlawful Use of Credit Card,Federal Bail Bond,1-4 Years,250000
NRS 205.465,Felony,Identity Theft,Federal Bail Bond,1-20 Years,750000
NRS 205.473,Felony,Computer Crime,Federal Bail Bond,1-10 Years,500000
NRS 205.760,Felony,Possession of Document or Personal Identifying Information to Establish False Status or Identity,Federal Bail Bond,1-20 Years,750000
NRS 207.010,Felony,Habitual Criminal,Federal Bail Bond,5-Life,1000000
NRS 207.012,Felony,Habitual Felon,Federal Bail Bond,5-Life,1000000
NRS 207.014,Felony,Habitually Fraudulent Felon,Federal Bail Bond,5-Life,1000000
NRS 453.336,Felony,Possession of Controlled Substance,Federal Bail Bond,1-4 Years,250000
NRS 453.337,Felony,Possession of Controlled Substance with Intent to Sell,Federal Bail Bond,1-6 Years,500000
NRS 453.338,Felony,Trafficking in Controlled Substances,Federal Bail Bond,1-20 Years,750000
NRS 453.401,Felony,Unlawful Distribution of Controlled Substance,Federal Bail Bond,1-15 Years,500000
NRS 453.411,Felony,Unlawful Possession of Drug Paraphernalia,Federal Bail Bond,1-4 Years,250000
NRS 484C.110,Misdemeanor,Driving Under the Influence (DUI),State Bail Bond,2 Days - 6 Months,10000
NRS 484C.430,Felony,Third DUI Offense,Federal Bail Bond,1-6 Years,500000
NRS 484E.010,Misdemeanor,Hit and Run - Property Damage,State Bail Bond,30 Days - 6 Months,10000
NRS 484E.020,Felony,Hit and Run - Injury or Death,Federal Bail Bond,2-20 Years,750000
NRS 487.040,Felony,Possession of Stolen Vehicle,Federal Bail Bond,1-10 Years,500000
NRS 487.100,Felony,Altering or Removing VIN,Federal Bail Bond,1-6 Years,250000
NRS 616D.200,Felony,Workers' Compensation Fraud,Federal Bail Bond,1-4 Years,250000
