code,type,title,bondType,jailTime,bondAmount
11-23-1,Felony,Murder,Federal Bail Bond,Life Imprisonment,1000000
11-23-3,Felony,Manslaughter,Federal Bail Bond,Up to 30 Years,500000
11-5-1,Felony,Assault with Intent to Commit Specified Felonies,Federal Bail Bond,Up to 20 Years,250000
11-5-2,Felony,Assault with Dangerous Weapon,Federal Bail Bond,Up to 6 Years,150000
11-5-3,Misdemeanor,Simple Assault or Battery,State Bail Bond,Up to 1 Year,10000
11-5-5,Felony,Assault on Police Officers and Other Officials,Federal Bail Bond,Up to 3 Years,150000
11-26-1,Felony,Kidnapping,Federal Bail Bond,Up to 20 Years,500000
11-26-1.4,Felony,Child Snatching,Federal Bail Bond,Up to 20 Years,500000
11-37-2,Felony,First Degree Sexual Assault,Federal Bail Bond,Up to Life Imprisonment,1000000
11-37-4,Felony,Second Degree Sexual Assault,Federal Bail Bond,Up to 15 Years,300000
11-37-6,Felony,Third Degree Sexual Assault,Federal Bail Bond,Up to 5 Years,100000
11-8-1,Felony,Burglary,Federal Bail Bond,5 Years to Life,500000
11-8-2,Felony,Breaking and Entering Dwelling House,Federal Bail Bond,Up to 10 Years,200000
11-39-1,Felony,Robbery,Federal Bail Bond,Up to Life Imprisonment,750000
11-41-1,Felony,Larceny,Federal Bail Bond,Up to 10 Years,200000
11-41-2,Misdemeanor,Shoplifting,State Bail Bond,Up to 1 Year,10000
11-41-11,Felony,Embezzlement,Federal Bail Bond,Up to 20 Years,400000
11-41-12,Felony,Obtaining Property by False Pretenses,Federal Bail Bond,Up to 10 Years,200000
11-18-1,Misdemeanor,False Personation,State Bail Bond,Up to 1 Year,10000
11-18-2,Felony,Impersonation of Public Officer,Federal Bail Bond,Up to 5 Years,100000
11-25-2,Felony,Escape from Correctional Institutions,Federal Bail Bond,Up to 3 Years,75000
11-32-1,Felony,Perjury,Federal Bail Bond,Up to 20 Years,400000
11-33-1,Felony,Bribery,Federal Bail Bond,Up to 7 Years,150000
11-34.1-2,Misdemeanor,Prostitution,State Bail Bond,Up to 1 Year,10000
11-34.1-7,Felony,Pandering,Federal Bail Bond,Up to 5 Years,100000
11-35-1,Misdemeanor,Willful Trespass,State Bail Bond,Up to 1 Year,10000
11-36-5,Felony,Throwing Missiles at Moving Vehicles,Federal Bail Bond,Up to 3 Years,75000
11-37.1-10,Felony,Failure to Register as Sex Offender,Federal Bail Bond,Up to 10 Years,200000
11-44-1,Misdemeanor,Vandalism,State Bail Bond,Up to 1 Year,10000
11-45-1,Misdemeanor,Disorderly Conduct,State Bail Bond,Up to 6 Months,5000
11-47-3,Felony,Carrying Pistol or Revolver without License,Federal Bail Bond,Up to 10 Years,200000
11-47-8,Felony,License or Permit Required for Carrying Firearm,Federal Bail Bond,Up to 10 Years,200000
11-47-20,Felony,Possession of Firearm by Convicted Felon,Federal Bail Bond,2 to 10 Years,250000
11-49-2,Felony,Unauthorized Use of Credit Cards,Federal Bail Bond,Up to 3 Years,75000
11-49.1-3,Felony,Identity Fraud,Federal Bail Bond,Up to 3 Years,75000
11-52-2,Felony,Access to Computer for Fraudulent Purposes,Federal Bail Bond,Up to 5 Years,100000
11-52-4,Felony,Computer Trespass,Federal Bail Bond,Up to 5 Years,100000
11-67-3,Felony,Human Trafficking,Federal Bail Bond,Up to 20 Years,500000
11-69-1,Felony,Electronic Tracking of Motor Vehicles,Federal Bail Bond,Up to 5 Years,100000
11-5-10,Felony,Domestic Assault,Federal Bail Bond,Up to 10 Years,200000
11-9-5,Felony,Child Abuse,Federal Bail Bond,Up to 20 Years,400000
11-23-2,Felony,Second Degree Murder,Federal Bail Bond,Up to Life Imprisonment,750000
11-29-1,Felony,Mayhem,Federal Bail Bond,Up to 10 Years,200000
11-5-16,Felony,Strangulation,Federal Bail Bond,Up to 10 Years,200000
11-37.3-2,Felony,Child Pornography,Federal Bail Bond,Up to 15 Years,300000
11-42-2,Felony,Extortion,Federal Bail Bond,Up to 15 Years,300000
11-47-24,Felony,Sale or Possession of Silencers,Federal Bail Bond,Up to 10 Years,200000
11-47-42,Felony,Weapons Other than Firearms Prohibited,Federal Bail Bond,Up to 1 Year,50000
11-5-14,Felony,Assault on Elderly Person,Federal Bail Bond,Up to 5 Years,100000
11-37-8.1,Felony,First Degree Child Molestation,Federal Bail Bond,Up to Life Imprisonment,1000000
11-37-8.3,Felony,Second Degree Child Molestation,Federal Bail Bond,Up to 30 Years,500000
