code,type,title,bondType,jailTime,bondAmount
18.2-32,Felony,First and Second Degree Murder,Federal Bail Bond,5 Years to Life,500000
18.2-35,Felony,Voluntary Manslaughter,Federal Bail Bond,1-10 Years,250000
18.2-36,Felony,Involuntary Manslaughter,Federal Bail Bond,1-10 Years,250000
18.2-47,Felony,Abduction and Kidnapping,Federal Bail Bond,1-10 Years,250000
18.2-51,Felony,Malicious Wounding,Federal Bail Bond,5-20 Years,500000
18.2-57,Misdemeanor,Assault and Battery,State Bail Bond,Up to 1 Year,5000
18.2-58,Felony,Robbery,Federal Bail Bond,5 Years to Life,500000
18.2-89,Felony,Burglary,Federal Bail Bond,5-20 Years,500000
18.2-95,Felony,Grand Larceny,Federal Bail Bond,1-20 Years,250000
18.2-96,Misdemeanor,Petit Larceny,State Bail Bond,Up to 1 Year,5000
18.2-103,Misdemeanor,Concealment of Merchandise (Shoplifting),State Bail Bond,Up to 1 Year,5000
18.2-108,Felony,Receiving Stolen Goods,Federal Bail Bond,1-20 Years,250000
18.2-111,Felony,Embezzlement,Federal Bail Bond,1-20 Years,250000
18.2-115,Felony,Fraudulent Conversion of Property,Federal Bail Bond,1-20 Years,250000
18.2-119,Misdemeanor,Trespassing,State Bail Bond,Up to 1 Year,5000
18.2-137,Misdemeanor,Destruction of Property,State Bail Bond,Up to 1 Year,5000
18.2-152.3,Felony,Computer Fraud,Federal Bail Bond,1-20 Years,250000
18.2-152.4,Felony,Computer Trespass,Federal Bail Bond,1-20 Years,250000
18.2-164,Felony,Obstructing Emergency Communications,Federal Bail Bond,1-5 Years,100000
18.2-178,Felony,False Pretenses,Federal Bail Bond,1-20 Years,250000
18.2-186.3,Felony,Identity Theft,Federal Bail Bond,1-20 Years,250000
18.2-248,Felony,"Manufacture, Sale, or Distribution of Controlled Substances",Federal Bail Bond,5-40 Years,500000
18.2-250,Felony,Possession of Controlled Substances,Federal Bail Bond,1-10 Years,250000
18.2-266,Misdemeanor,Driving Under the Influence (DUI),State Bail Bond,Up to 1 Year,2500
18.2-279,Felony,Discharging Firearm in Occupied Building,Federal Bail Bond,1-10 Years,250000
18.2-282,Misdemeanor,Brandishing a Firearm,State Bail Bond,Up to 1 Year,2500
18.2-287.4,Misdemeanor,Carrying Weapon in Airport Terminal,State Bail Bond,Up to 1 Year,2500
18.2-308.2,Felony,Possession of Firearm by Convicted Felon,Federal Bail Bond,2-5 Years,100000
18.2-346,Misdemeanor,Prostitution,State Bail Bond,Up to 1 Year,2500
18.2-355,Felony,Pandering,Federal Bail Bond,1-10 Years,250000
18.2-361,Felony,Crimes Against Nature,Federal Bail Bond,1-5 Years,100000
18.2-370,Felony,Indecent Liberties with Children,Federal Bail Bond,1-10 Years,250000
18.2-371.1,Felony,Child Abuse and Neglect,Federal Bail Bond,1-10 Years,250000
18.2-374.1,Felony,Production of Child Pornography,Federal Bail Bond,5-20 Years,500000
18.2-387,Misdemeanor,Indecent Exposure,State Bail Bond,Up to 1 Year,2500
18.2-415,Misdemeanor,Disorderly Conduct,State Bail Bond,Up to 1 Year,2500
18.2-460,Misdemeanor,Obstruction of Justice,State Bail Bond,Up to 1 Year,2500
18.2-472,Felony,False Statements to Law Enforcement,Federal Bail Bond,1-5 Years,100000
18.2-479,Misdemeanor,Resisting Arrest,State Bail Bond,Up to 1 Year,2500
18.2-485,Misdemeanor,Conspiracy to Commit Misdemeanor,State Bail Bond,Up to 1 Year,2500
18.2-487,Felony,Treason,Federal Bail Bond,5 Years to Life,500000
18.2-499,Felony,Conspiracy to Injure Business,Federal Bail Bond,1-10 Years,250000
18.2-514,Felony,Bribery,Federal Bail Bond,1-10 Years,250000
18.2-515,Felony,Acceptance of Bribe,Federal Bail Bond,1-10 Years,250000
18.2-521,Felony,Embezzlement by Public Officer,Federal Bail Bond,1-20 Years,250000
18.2-530,Felony,Perjury,Federal Bail Bond,1-10 Years,250000
18.2-460.1,Felony,Obstruction of Justice with Threats or Force,Federal Bail Bond,1-5 Years,100000
18.2-465.1,Misdemeanor,Refusal to Aid Officer,State Bail Bond,Up to 1 Year,2500
18.2-479.1,Felony,Escape from Custody,Federal Bail Bond,1-5 Years,100000
18.2-485.1,Felony,Participation in Criminal Street Gang,Federal Bail Bond,1-10 Years,250000
18.2-490,Felony,Use of Firearm in Commission of Felony,Federal Bail Bond,3-5 Years,100000
